Latitude (decimal degrees):	47.281
Longitude (decimal degrees):	9.671
Elevation (m):	682
Radiation database:	PVGIS-CMSAF


Slope: 0
Azimuth: 0
Date,Bi,Di,Ri,As,Tamb,W10,Int.
20160113:1955,0.00,0.00,0.00,0.00,-0.35,1.48,0
20160113:2055,0.00,0.00,0.00,0.00,-1.48,1.53,0
20160113:2155,0.00,0.00,0.00,0.00,-2.60,1.57,0
20160113:2255,0.00,0.00,0.00,0.00,-3.85,1.67,0
20160113:2355,0.00,0.00,0.00,0.00,-5.09,1.77,0
20160114:0055,0.00,0.00,0.00,0.00,-6.33,1.86,0
20160114:0155,0.00,0.00,0.00,0.00,-6.44,1.77,0
20160114:0255,0.00,0.00,0.00,0.00,-6.55,1.69,0
20160114:0355,0.00,0.00,0.00,0.00,-6.66,1.60,0
20160114:0455,0.00,0.00,0.00,0.00,-6.94,1.77,0
20160114:0555,0.00,0.00,0.00,0.00,-7.23,1.94,0
20160114:0655,0.00,0.00,0.00,0.00,-7.51,2.11,0
20160114:0755,0.00,33.90,0.00,6.21,-6.09,2.38,0
20160114:0855,1.65,75.05,0.00,13.12,-4.67,2.64,0
20160114:0955,9.75,131.60,0.00,18.19,-3.25,2.91,0
20160114:1055,82.94,170.81,0.00,20.97,-0.79,3.05,0
20160114:1155,0.00,44.35,0.00,21.16,1.66,3.19,0
20160114:1255,10.66,134.75,0.00,18.74,4.12,3.32,0
20160114:1355,6.05,92.05,0.00,13.98,4.48,2.87,0
20160114:1455,0.00,21.60,0.00,7.30,4.84,2.42,0
20160114:1555,0.00,0.00,0.00,0.00,5.20,1.97,0
20160114:1655,0.00,0.00,0.00,0.00,4.64,1.84,0
20160114:1755,0.00,0.00,0.00,0.00,4.08,1.71,0
20160114:1855,0.00,0.00,0.00,0.00,3.52,1.59,0
20160114:1955,0.00,0.00,0.00,0.00,3.11,1.83,0
20160114:2055,0.00,0.00,0.00,0.00,2.69,2.06,0
20160114:2155,0.00,0.00,0.00,0.00,2.28,2.30,0
20160114:2255,0.00,0.00,0.00,0.00,2.01,2.42,0
20160114:2355,0.00,0.00,0.00,0.00,1.75,2.54,0
20160115:0055,0.00,0.00,0.00,0.00,1.49,2.66,0
20160115:0155,0.00,0.00,0.00,0.00,1.28,2.37,0
20160115:0255,0.00,0.00,0.00,0.00,1.07,2.07,0
20160115:0355,0.00,0.00,0.00,0.00,0.86,1.78,0
20160115:0455,0.00,0.00,0.00,0.00,0.45,2.51,0
20160115:0555,0.00,0.00,0.00,0.00,0.04,3.25,0
20160115:0655,0.00,0.00,0.00,0.00,-0.37,3.99,0
20160115:0755,0.00,3.60,0.00,6.31,-0.31,4.06,0
20160115:0855,0.00,54.20,0.00,13.25,-0.25,4.12,0
20160115:0955,0.00,48.15,0.00,18.34,-0.19,4.19,0
20160115:1055,0.00,97.30,0.00,21.14,0.26,4.45,0
20160115:1155,0.25,109.25,0.00,21.35,0.71,4.71,0
20160115:1255,0.00,38.65,0.00,18.94,1.16,4.97,0
20160115:1355,0.00,43.90,0.00,14.18,1.15,4.51,0
20160115:1455,0.85,37.30,0.00,7.50,1.14,4.06,0
20160115:1555,0.00,0.00,0.00,0.00,1.13,3.60,0
20160115:1655,0.00,0.00,0.00,0.00,0.63,3.21,0
20160115:1755,0.00,0.00,0.00,0.00,0.14,2.83,0
20160115:1855,0.00,0.00,0.00,0.00,-0.36,2.44,0
20160115:1955,0.00,0.00,0.00,0.00,-0.65,2.24,0
20160115:2055,0.00,0.00,0.00,0.00,-0.94,2.05,0
20160115:2155,0.00,0.00,0.00,0.00,-1.22,1.85,0
20160115:2255,0.00,0.00,0.00,0.00,-1.33,1.71,0
20160115:2355,0.00,0.00,0.00,0.00,-1.43,1.57,0
20160116:0055,0.00,0.00,0.00,0.00,-1.53,1.43,0
20160116:0155,0.00,0.00,0.00,0.00,-1.60,1.71,0
20160116:0255,0.00,0.00,0.00,0.00,-1.66,1.98,0
20160116:0355,0.00,0.00,0.00,0.00,-1.73,2.25,0
20160116:0455,0.00,0.00,0.00,0.00,-2.01,2.30,0
20160116:0555,0.00,0.00,0.00,0.00,-2.28,2.36,0
20160116:0655,0.00,0.00,0.00,0.00,-2.56,2.41,0
20160116:0755,0.00,42.75,0.00,6.42,-2.28,2.63,0
20160116:0855,0.00,28.15,0.00,13.38,-2.00,2.84,0
20160116:0955,0.30,92.55,0.00,18.49,-1.72,3.05,0
20160116:1055,0.00,86.25,0.00,21.32,-0.93,3.10,0
20160116:1155,0.00,65.20,0.00,21.54,-0.14,3.15,0
20160116:1255,0.00,39.40,0.00,19.14,0.65,3.20,0
20160116:1355,0.00,28.05,0.00,14.38,0.63,3.20,0
20160116:1455,9.21,52.20,0.00,7.70,0.61,3.21,0
20160116:1555,0.00,0.00,0.00,0.00,0.59,3.21,0
20160116:1655,0.00,0.00,0.00,0.00,0.11,2.99,0
20160116:1755,0.00,0.00,0.00,0.00,-0.37,2.76,0
20160116:1855,0.00,0.00,0.00,0.00,-0.85,2.54,0
20160116:1955,0.00,0.00,0.00,0.00,-1.10,2.77,0
20160116:2055,0.00,0.00,0.00,0.00,-1.35,3.01,0
20160116:2155,0.00,0.00,0.00,0.00,-1.60,3.24,0
20160116:2255,0.00,0.00,0.00,0.00,-1.69,3.43,0
20160116:2355,0.00,0.00,0.00,0.00,-1.77,3.61,0
20160117:0055,0.00,0.00,0.00,0.00,-1.85,3.79,0
20160117:0155,0.00,0.00,0.00,0.00,-2.07,3.64,0
20160117:0255,0.00,0.00,0.00,0.00,-2.28,3.49,0
20160117:0355,0.00,0.00,0.00,0.00,-2.50,3.34,0
20160117:0455,0.00,0.00,0.00,0.00,-2.71,3.03,0
20160117:0555,0.00,0.00,0.00,0.00,-2.92,2.73,0
20160117:0655,0.00,0.00,0.00,0.00,-3.13,2.43,0
20160117:0755,0.00,8.50,0.00,6.54,-2.77,2.74,0
20160117:0855,2.10,79.10,0.00,13.52,-2.42,3.05,0
20160117:0955,0.00,11.00,0.00,18.66,-2.06,3.37,0
20160117:1055,0.00,13.45,0.00,21.50,-1.47,3.73,0
20160117:1155,0.00,14.55,0.00,21.74,-0.87,4.09,0
20160117:1255,0.00,42.55,0.00,19.35,-0.28,4.46,0
20160117:1355,0.00,7.80,0.00,14.59,-0.50,4.20,0
